item,item_gr
6" Big Philly Cheesesteak, Σάντουιτς Μεγάλο Φιλαδέλφεια Τσίζστεικ 6"
Footlong Big Philly Cheesesteak, Σάντουιτς Μεγάλο Φιλαδέλφεια Τσίζστεικ Φούτλονγκ
Kids Mini Sub Black Forest Ham, Μίνι Σάντουιτς Μαύρο Δάσος Ζαμπόν Παιδικό
6" Black Forest Ham, Σάντουιτς Μαύρο Δάσος Ζαμπόν 6"
Footlong Black Forest Ham, Σάντουιτς Μαύρο Δάσος Ζαμπόν Φούτλονγκ
6" Carved Turkey, Σάντουιτς Γαλοπούλα 6"
Footlong Carved Turkey, Σάντουιτς Γαλοπούλα Φούτλονγκ
6" Carved Turkey & Bacon w/ Cheese, Σάντουιτς Γαλοπούλα και Μπέικον με Τυρί 6"
Footlong Carved Turkey & Bacon w/ Cheese, Σάντουιτς Γαλοπούλα και Μπέικον με Τυρί Φούτλονγκ
6" Chicken & Bacon Ranch Melt, Σάντουιτς Ραντς Λιώμα Κοτόπουλο και Μπέικον 6"
Footlong Chicken & Bacon Ranch Melt, Σάντουιτς Ραντς Λιώμα Κοτόπουλο και Μπέικον Φούτλονγκ
6" Chicken Pizziola Melt, Σάντουιτς Λιώμα Πιτσογιόλα Κοτόπουλο 6"
Footlong Chicken Pizziola Melt, Σάντουιτς Λιώμα Πιτσογιόλα Κοτόπουλο Φούτλονγκ
6" Cold Cut Combo, Σάντουιτς Συνδυασμός Κρύα Κοπής 6"
Footlong Cold Cut Combo, Σάντουιτς Συνδυασμός Κρύα Κοπής Φούτλονγκ
6" Corned Beef Reuben, Σάντουιτς Ρούμπεν Κορν Μπιφ 6"
Footlong Corned Beef Reuben, Σάντουιτς Ρούμπεν Κορν Μπιφ Φούτλονγκ
6" Italian B.M.T., Σάντουιτς Ιταλικό B.M.T. 6"
Footlong Italian B.M.T., Σάντουιτς Ιταλικό B.M.T. Φούτλονγκ
6" Italian Hero, Σάντουιτς Ιταλικός Ήρωας 6"
Footlong Italian Hero, Σάντουιτς Ιταλικός Ήρωας Φούτλονγκ
6" Meatball Marinara, Σάντουιτς Κεφτέδες Μαρινάρα 6"
Footlong Meatball Marinara, Σάντουιτς Κεφτέδες Μαρινάρα Φούτλονγκ
6" Oven Roasted Chicken, Σάντουιτς Κοτόπουλο Ψητό στο Φούρνο 6"
Footlong Oven Roasted Chicken, Σάντουιτς Κοτόπουλο Ψητό στο Φούρνο Φούτλονγκ
Kids Mini Sub Roast Beef, Μίνι Σάντουιτς Ψητό Βοδινό Παιδικό
6" Roast Beef, Σάντουιτς Ψητό Βοδινό 6"
Footlong Roast Beef, Σάντουιτς Ψητό Βοδινό Φούτλονγκ
6" Rotisserie Style Chicken, Σάντουιτς Κοτόπουλο Στυλ Ροτισσερί 6"
Footlong Rotisserie Style Chicken, Σάντουιτς Κοτόπουλο Στυλ Ροτισσερί Φούτλονγκ
6" Spicy Italian, Σάντουιτς Καυτερό Ιταλικό 6"
Footlong Spicy Italian, Σάντουιτς Καυτερό Ιταλικό Φούτλονγκ
6" Steak and Cheese, Σάντουιτς Στέικ και Τυρί 6"
Footlong Steak and Cheese, Σάντουιτς Στέικ και Τυρί Φούτλονγκ
6" Subway Club, Σάντουιτς Κλαμπ Subway 6"
Footlong Subway Club, Σάντουιτς Κλαμπ Subway Φούτλονγκ
6" Subway Melt (includes cheese), Σάντουιτς Λιώμα Subway (περιλαμβάνει Τυρί) 6"
Footlong Subway Melt (includes cheese), Σάντουιτς Λιώμα Subway (περιλαμβάνει Τυρί) Φούτλονγκ
6" Subway Seafood Sensation, Σάντουιτς Θαλασσινή Απόλαυση Subway 6"
Footlong Subway Seafood Sensation, Σάντουιτς Θαλασσινή Απόλαυση Subway Φούτλονγκ
6" Sweet Onion Chicken Teriyaki, Σάντουιτς Κοτόπουλο Τεριγιάκι με Γλυκό Κρεμμύδι 6"
Footlong Sweet Onion Chicken Teriyaki, Σάντουιτς Κοτόπουλο Τεριγιάκι με Γλυκό Κρεμμύδι Φούτλονγκ
6" Tuna, Σάντουιτς Τόνος 6"
Footlong Tuna, Σάντουιτς Τόνος Φούτλονγκ
6" Turkey & Bacon Avocado, Σάντουιτς Γαλοπούλα και Μπέικον Αβοκάντο 6"
Footlong Turkey & Bacon Avocado, Σάντουιτς Γαλοπούλα και Μπέικον Αβοκάντο Φούτλονγκ
Kids Mini Sub Turkey Breast, Μίνι Σάντουιτς Στήθος Γαλοπούλας Παιδικό
6" Turkey Breast, Σάντουιτς Στήθος Γαλοπούλας 6"
Footlong Turkey Breast, Σάντουιτς Στήθος Γαλοπούλας Φούτλονγκ
6" Turkey Breast & Ham, Σάντουιτς Στήθος Γαλοπούλας και Ζαμπόν 6"
Footlong Turkey Breast & Ham, Σάντουιτς Στήθος Γαλοπούλας και Ζαμπόν Φούτλονγκ
6" Turkey Italiano Melt (with Provolone), Σάντουιτς Λιώμα Γαλοπούλας Ιταλικού Στυλ (με Προβολόνε) 6"
Footlong Turkey Italiano Melt (with Provolone), Σάντουιτς Λιώμα Γαλοπούλας Ιταλικού Στυλ (με Προβολόνε) Φούτλονγκ
Kids Mini Sub Veggie Delite, Μίνι Σάντουιτς Λαχανικών Παιδικό
6" Veggie Delite, Σάντουιτς Λαχανικών 6"
Footlong Veggie Delite, Σάντουιτς Λαχανικών Φούτλονγκ
6" Veggie Patty, Σάντουιτς Πατημένα Λαχανικά 6"
Footlong Veggie Patty, Σάντουιτς Πατημένα Λαχανικά Φούτλονγκ
Autumn Carved Turkey Salad, Φθινοπωρινή Σαλάτα Γαλοπούλας
B.L.T. Salad, Σαλάτα BLT
Big Hot Pastrami Melt Salad, Σαλάτα Λιώμα Μεγάλο Παστράμι
Big Philly Cheesesteak Salad, Σαλάτα Μεγάλο Φιλαδέλφεια Τσίζστεικ
Black Forest Ham Salad, Σαλάτα Μαύρο Δάσος Ζαμπόν
Buffalo Chicken Salad (with Ranch dressing), Σαλάτα Μπάφαλο Κοτόπουλο (με Ντρέσινγκ Ραντς)
Carved Turkey & Bacon w/ Cheese Salad, Σαλάτα Γαλοπούλα και Μπέικον με Τυρί
Carved Turkey Salad, Σαλάτα Γαλοπούλας
Chicken & Bacon Ranch Melt Salad (includes Ranch dressing), Σαλάτα Λιώμα Κοτόπουλο και Μπέικον Ραντς (περιλαμβάνει Ντρέσινγκ Ραντς)
Cold Cut Combo Salad, Σαλάτα Συνδυασμός Κρύα Κοπής
Double Chicken Salad, Διπλή Σαλάτα Κοτόπουλο
Italian B.M.T. Salad, Σαλάτα Ιταλική B.M.T.
Italian Hero Salad, Σαλάτα Ιταλικός Ήρωας
Meatball Marinara Salad, Σαλάτα Κεφτέδες Μαρινάρα
Oven Roasted Chicken Salad, Σαλάτα Κοτόπουλο Ψητό στο Φούρνο
Roast Beef Salad, Σαλάτα Ψητό Βοδινό
Spicy Italian Salad, Σαλάτα Καυτερό Ιταλικό
Steak & Cheese Salad, Σαλάτα Στέικ και Τυρί
Subway Club Salad, Σαλάτα Κλαμπ Subway
Subway Melt Salad, Σαλάτα Λιώμα Subway
Sweet Onion Chicken Teriyaki Salad, Σαλάτα Κοτόπουλο Τεριγιάκι με Γλυκό Κρεμμύδι
Tuna Salad, Σαλάτα Τόνος
Turkey Breast & Ham Salad, Σαλάτα Στήθος Γαλοπούλας και Ζαμπόν
Turkey Breast Salad, Σαλάτα Στήθος Γαλοπούλας
Veggie Delite Salad, Σαλάτα Λαχανικών
Chipotle Southwest Steak & Cheese Wrap, Γουράπ Στέικ και Τυρί Νοτιοδυτικού Στυλ Chipotle
Rotisserie-Style Chicken Caesar Wrap, Γουράπ Σαλάτα Σίζαρ Κοτόπουλο Στυλ Ροτισσερί
Turkey Bacon & Guacamole Wrap, Γουράπ Γαλοπούλα με Μπέικον και Γουακαμόλε
Cheese & Veggies Pizza, Πίτσα με Τυρί και Λαχανικά
Cheese Pizza, Πίτσα με Τυρί
Pepperoni Pizza, Πίτσα με Πεπερόνι
Sausage Pizza, Πίτσα με Λουκάνικο
1/2 lb. Cheesy Potato Burrito, Μπουρίτο Πατάτα με Τυρί 1/2 lb.
1/2 lb. Combo Burrito, Συνδυασμός Μπουρίτο 1/2 lb.
7-Layer Burrito, Μπουρίτο 7 Επίπεδων
Bean Burrito, Μπουρίτο με Φασόλια
Beefy 5-Layer Burrito, Μπουρίτο 5 Επίπεδων με Μοσχάρι
Beefy Fritos Burrito, Μπουρίτο Fritos με Μοσχάρι
Black Bean Burrito, Μπουρίτο Μαύρα Φασόλια
Burrito Supreme – Beef, Μπουρίτο Supreme με Μοσχάρι
Burrito Supreme - Chicken, Μπουρίτο Supreme με Κοτόπουλο
Burrito Supreme - Steak, Μπουρίτο Supreme με Στέικ
Cantina Power Burrito - Chicken, Μπουρίτο Cantina Power με Κοτόπουλο
Cantina Power Burrito - Steak, Μπουρίτο Cantina Power με Στέικ
Cantina Power Burrito - Veggie, Μπουρίτο Cantina Power με Λαχανικά
Cheesy Bean and Rice Burrito, Μπουρίτο Φασόλια και Ρύζι με Τυρί
Chili Cheese Burrito, Μπουρίτο Τσίλι και Τυρί
Chicken Crunchy Cheesy Core Burrito, Μπουρίτο Κοτόπουλο Τραγανό με Τυρί
Steak Crunchy Cheesy Core Burrito, Μπουρίτο Στέικ Τραγανό με Τυρί
Beef Crunchy Cheesy Core Burrito, Μπουρίτο Μοσχάρι Τραγανό με Τυρί
Loaded Taco Burrito, Μπουρίτο Φορτωμένο Τάκο
Chicken Quesarito, Κεσαρίτο Κοτόπουλο
Steak Quesarito, Κεσαρίτο Στέικ
Beef Quesarito, Κεσαρίτο Μοσχάρι
Shredded Chicken Burrito, Μπουρίτο Τραγανό Κοτόπουλο
Smothered Burrito - Beef, Μπουρίτο Σκεπαστό με Μοσχάρι
Smothered Burrito - Shredded Chicken, Μπουρίτο Σκεπαστό με Τραγανό Κοτόπουλο
Smothered Burrito - Steak, Μπουρίτο Σκεπαστό με Στέικ
Chicken Spicy Cheesy Core Burrito, Μπουρίτο Καυτερό Κοτόπουλο με Τυρί
Steak Spicy Cheesy Core Burrito, Μπουρίτο Καυτερό Στέικ με Τυρί
Beef Spicy Cheesy Core Burrito, Μπουρίτο Καυτερό Μοσχάρι με Τυρί
Triple Melt Burrito, Μπουρίτο Τριπλό Λιώμα
XXL Grilled Stuft Burrito - Beef, Μπουρίτο XXL Ψητό Γεμιστό με Μοσχάρι
XXL Grilled Stuft Burrito - Chicken, Μπουρίτο XXL Ψητό Γεμιστό με Κοτόπουλο
XXL Grilled Stuft Burrito - Steak, Μπουρίτο XXL Ψητό Γεμιστό με Στέικ
Chicken Soft Taco, Τάκο Κοτόπουλο Μαλακό
Cool Ranch Doritos Double Decker Taco, Τάκο Διπλό Ντέκερ Cool Ranch Doritos
Cool Ranch Doritos Locos Taco, Τάκο Λόκος Cool Ranch Doritos
Cool Ranch Doritos Locos Taco Supreme, Τάκο Λόκος Cool Ranch Doritos Supreme
Crunchy Taco, Τραγανό Τάκο
Crunchy Taco Supreme, Τραγανό Τάκο Supreme
Double Decker Taco, Τάκο Διπλό Ντέκερ
DOUBLE DECKER Taco Supreme, Τάκο Διπλό Ντέκερ Supreme
Spicy Sweet Double Stacked Taco, Τάκο Διπλό Στοιβαγμένο Καυτερό Γλυκό
Cool Ranch Habanero Double Stacked Taco, Τάκο Διπλό Στοιβαγμένο Cool Ranch Χαμπανέρο
Nacho Crunch Double Stacked Taco, Τάκο Διπλό Στοιβαγμένο Νάτσο Τραγανό
Fiery Doritos Double Decker Taco, Τάκο Διπλό Ντέκερ Fiery Doritos
Fiery Doritos Locos Taco, Τάκο Λόκος Fiery Doritos
Fiery Doritos Locos Taco Supreme, Τάκο Λόκος Fiery Doritos Supreme
Grilled Steak Soft Taco, Τάκο Μαλακό με Ψητό Στέικ
Nacho Cheese Doritos Double Decker Taco, Τάκο Διπλό Ντέκερ Νάτσο Τυρί Doritos
Nacho Cheese Doritos Locos Tacos, Τάκος Λόκος Νάτσο Τυρί Doritos
Nacho Cheese Doritos Locos Tacos Supreme, Τάκος Λόκος Νάτσο Τυρί Doritos Supreme
Soft Taco Supreme – Beef, Τάκο Μαλακό Supreme με Μοσχάρι
Soft Taco-Beef, Τάκο Μαλακό με Μοσχάρι
Spicy Potato Soft Taco, Τάκο Μαλακό με Καυτερή Πατάτα
Chalupa Supreme - Chicken, Τσαλούπα Supreme με Κοτόπουλο
Chalupa Supreme - Steak, Τσαλούπα Supreme με Στέικ
Chalupa Supreme–Beef, Τσαλούπα Supreme με Μοσχάρι
Double Chalupa, Διπλή Τσαλούπα
Wild Naked Chicken Chalupa, Άγρια Τσαλούπα Κοτόπουλο Χωρίς Κάλυμμα
Mild Naked Chicken Chalupa, Ήπια Τσαλούπα Κοτόπουλο Χωρίς Κάλυμμα
Spicy Double Chalupa, Καυτερή Διπλή Τσαλούπα
Fresco Bean Burrito, Μπουρίτο Φασόλια Φρέσκο
Fresco Burrito Supreme – Chicken, Μπουρίτο Supreme Φρέσκο με Κοτόπουλο
Fresco Burrito Supreme – Steak, Μπουρίτο Supreme Φρέσκο με Στέικ
Fresco Chicken Soft Taco, Τάκο Κοτόπουλο Μαλακό Φρέσκο
Fresco Crunchy Taco, Τραγανό Τάκο Φρέσκο
Fresco Grilled Steak Soft Taco, Τάκο Μαλακό με Ψητό Στέικ Φρέσκο
Fresco Soft Taco, Τάκο Μαλακό Φρέσκο
Cheesy Gordita Crunch, Γκορντίτα Τραγανό με Τυρί
Doritos Cheesy Gordita Crunch - Cool Ranch, Γκορντίτα Τραγανό με Τυρί Cool Ranch Doritos
Doritos Cheesy Gordita Crunch - Fiery, Γκορντίτα Τραγανό με Τυρί Fiery Doritos
Doritos Cheesy Gordita Crunch - Nacho Cheese, Γκορντίτα Τραγανό με Νάτσο Τυρί Doritos
Double Cheesy Gordita Crunch, Διπλή Γκορντίτα Τραγανό με Τυρί
Gordita Supreme – Beef, Γκορντίτα Supreme με Μοσχάρι
Gordita Supreme - Chicken, Γκορντίτα Supreme με Κοτόπουλο
Gordita Supreme - Steak, Γκορντίτα Supreme με Στέικ
Nacho Fries Bellgrande, Πατάτες Νάτσο Bellgrande
Nachos BellGrande, Νάτσος BellGrande
Nachos Supreme, Νάτσος Supreme
Triple Layer Nachos, Νάτσος Τριπλού Επίπεδου
Triple Melt Nachos, Νάτσος Τριπλού Λιώματος
Beefy Cheddar Crunchwrap Slider, Σλάιντερ Crunchwrap Μοσχάρι Τσένταρ
Beefy Mini Quesadilla, Μίνι Κεσαντίγια Μοσχάρι
Beefy Nacho Griller, Γκρίλερ Νάτσο Μοσχάρι
BLT Crunchwrap Slider, Σλάιντερ Crunchwrap BLT
Cantina Power Bowl - Chicken, Μπολ Cantina Power με Κοτόπουλο
Cantina Power Bowl - Steak, Μπολ Cantina Power με Στέικ
Cantina Power Bowl - Veggie, Μπολ Cantina Power με Λαχανικά
Cheese Quesadilla, Κεσαντίγια με Τυρί
Cheese Roll-Up, Ρολάκι με Τυρί
Chicken Quesadilla, Κεσαντίγια Κοτόπουλο
Chickstar, Τσίκσταρ
Chili Cheese Burrito, Μπουρίτο Τσίλι και Τυρί
Chipotle Crispy Chicken Griller, Γκρίλερ Τραγανό Κοτόπουλο Chipotle
Crispy Chicken Quesadilla, Κεσαντίγια Τραγανό Κοτόπουλο
Crunchwrap Supreme, Κράντσραπ Supreme
Double Tostada, Διπλή Τοστάδα
Express Taco Salad w/ Chips, Σαλάτα Τάκο Express με Πατατάκια
Loaded Potato Griller, Γκρίλερ Πατάτα Φορτωμένη
Mexican Pizza, Πίτσα Μεξικάνικη
MexiMelt, Λιώμα Μεξικάνικο
Steak Quesalupa, Κεσαλούπα Στέικ
Chicken Quesalupa, Κεσαλούπα Κοτόπουλο
Beef Quesalupa, Κεσαλούπα Μοσχάρι
Shredded Chicken Mini Quesadilla, Μίνι Κεσαντίγια Τραγανό Κοτόπουλο
Spicy Chicken Crunchwrap Slider, Σλάιντερ Κράντσραπ Καυτερό Κοτόπουλο
Spicy Tostada, Καυτερή Τοστάδα
Stacker, Στάκερ
Steak Quesadilla, Κεσαντίγια Στέικ
Original Triple Double Crunchwrap, Αυθεντικό Τριπλό Διπλό Κράντσραπ
Spicy Triple Double Crunchwrap, Καυτερό Τριπλό Διπλό Κράντσραπ
Express Taco Salad w/ Chips, Σαλάτα Τάκο Express με Πατατάκια
Fiesta Taco Salad-Beef, Γιορτινή Σαλάτα Τάκο με Μοσχάρι
Fiesta Taco Salad-Chicken, Γιορτινή Σαλάτα Τάκο με Κοτόπουλο
Fiesta Taco Salad-Steak, Γιορτινή Σαλάτα Τάκο με Στέικ

